A[8]      B[8]      opcode[3] O[8]	Cout
01010101  01010101  000       01010101	x
11111111  00000000  000       00000000	x
00000000  11111111  000       11111111	x

00000000  11111111  001       11111111	x
11111111  00000000  001       11111111	x
10101010  10101010  001       00000000	x
11110000  00001111  001       11111111	x
11000000  00110011  001       11110011	x
01010101  10101010  001       11111111	x
00110011  11001100  001       11111111	x
10110011  11010101  001       01100110	x

00000000  11111111  010       00000000	x
11111111  00000000  010       00000000	x
10101010  10101010  010       10101010	x
11110000  00001111  010       00000000	x
11000000  00110011  010       00000000	x
01010101  10101010  010       00000000	x
00110011  11001100  010       00000000	x
10110011  11010101  010       10010001	x

00000000  11111111  011       11111111	x
11111111  00000000  011       11111111	x
10101010  10101010  011       10101010	x
11110000  00001111  011       11111111	x
11000000  00110011  011       11110011	x
01010101  10101010  011       11111111	x
00110011  11001100  011       11111111	x
10110011  11010101  011       11110111	x

00000000  11111111  100       11111111	0
11111111  00000000  100       11111111	0
10101010  10101010  100       01010100	1
11110000  00001111  100       11111111	0
11000000  00110011  100       11110011	0
01010101  10101010  100       11111111	0
00110011  11001100  100       11111111	0
10110011  11010101  100       10001000	1

00000000  11111111  101       00000001	0
11111111  00000000  101       11111111	1
10101010  10101010  101       00000000	1
11110000  00001111  101       11100001	1
11000000  00110011  101       10001101	1
01010101  10101010  101       10101011	0
00110011  11001100  101       01100111	0
10110011  11010101  101       11011110	0

00000000  11111111  110       01111111	x
11111111  00000000  110       00000000	x
10101010  10101010  110       01010101	x
11110000  00001111  110       00000111	x
11000000  00110011  110       00011001	x
01010101  10101010  110       01010101	x
00110011  11001100  110       01100110	x
10110011  11010101  110       01101010	x

00001010  00001100  111       01111000	x
00001110  00001001  111       01111110	x
00001000  00001001  111       01001000	x
00000011  00001001  111       00011011	x
00000100  00001111  111       00111100	x
